,Debica,"Navigator 2",155,70,13,T,75,,,,0,340,340,1,30.06.2014,Newtires
,Debica,"Navigator 2",175,70,13,T,82,,,,10,390,390,20,30.06.2014,Newtires
,Debica,"Navigator 2",185,65,14,T,86,,,,4,460,460,54,30.06.2014,Newtires
,Debica,"Navigator 2",185,65,14,T,86,,,,0,480,480,65,30.06.2014,Newtires
,Debica,"Passio 2",165,70,13,T,79,,,,2,335,335,8,30.06.2014,Newtires
,Debica,"Passio 2",175,70,13,T,82,,,,0,330,330,11,30.06.2014,Newtires
,Debica,"Passio 2",185,60,14,T,82,,,,0,517,517,43,30.06.2014,Newtires
,Dunlop,"Ice Touch",185,65,15,T,88,,,,2,725,725,272,30.06.2014,Newtires
,Dunlop,"Ice Touch",205,55,16,T,94,,,,4,1080,1080,358,30.06.2014,Newtires
,Dunlop,"Ice Touch",205,60,16,T,96,,,,0,1075,1075,370,30.06.2014,Newtires
,Dunlop,"Ice Touch",215,55,16,T,97,,,,4,1125,1125,386,30.06.2014,Newtires
,Dunlop,"SP Ice Response",175,70,13,T,82,,,,4,500,500,186,30.06.2014,Newtires
,Dunlop,"SP Sport 01",195,65,15,H,91,,,,4,600,600,102,30.06.2014,Newtires
,Dunlop,"SP Sport 01",205,55,16,V,91,,,,0,900,900,130,30.06.2014,Newtires
,Dunlop,"SP Sport 7010 A/S",255,40,20,W,97,,,,14,7065,7065,2,30.06.2014,
,Dunlop,"SP Sport 7010 A/S",255,40,20,W,97,,,,800,7905.5,7905.5,2,30.06.2014,"A MARKING TEST"
,Dunlop,"SP Sport Maxx",255,40,20,W,101,,,,345,3492,3492,5,30.06.2014,"A MARKING TEST"
,Dunlop,"SP Sport Maxx",255,40,20,W,101,,,,14,2970,2970,5,30.06.2014,
,Dunlop,"SP Sport Maxx GT",255,40,20,Y,97,,,,14,7605,7605,1,30.06.2014,
,Dunlop,"SP Sport Maxx GT",255,40,20,Y,97,,,,865,8487.5,8487.5,1,30.06.2014,"A MARKING TEST"
,Dunlop,"SP Sport Maxx TT",205,55,16,Y,91,,,,0,870,870,131,30.06.2014,Newtires
,Dunlop,"SP StreetResponse",185,65,14,T,86,,,,0,570,570,56,30.06.2014,Newtires
,Falken,"Espia EPZ",185,65,15,Q,88,,,,0,650,650,276,30.06.2014,Newtires
,Falken,"Espia EPZ",195,65,15,Q,91,,,,0,650,650,299,30.06.2014,Newtires
,Falken,"Espia EPZ",205,55,16,Q,91,,,,4,900,900,359,30.06.2014,Newtires
,Falken,"Espia EPZ",205,60,16,Q,92,,,,2,950,950,371,30.06.2014,Newtires
,Falken,"Espia EPZ",215,60,16,Q,95,,,,6,975,975,389,30.06.2014,Newtires
,Falken,"Espia EPZ",225,60,17,Q,99,,,,0,1225,1225,437,30.06.2014,Newtires
,Falken,"Ziex ZE-914",185,60,15,H,84,,,,0,640,640,72,30.06.2014,Newtires
,Falken,"Ziex ZE-914",195,50,15,H,82,,,,0,545,545,74,30.06.2014,Newtires
,Falken,"Ziex ZE-914",195,55,15,H,85,,,,0,695,695,85,30.06.2014,Newtires
,Falken,"Ziex ZE-914",195,60,15,H,88,,,,0,580,580,88,30.06.2014,Newtires
,Falken,"Ziex ZE-914",195,65,15,H,91,,,,0,545,545,103,30.06.2014,Newtires
,Falken,"Ziex ZE-914",205,55,16,V,91,,,,0,675,675,132,30.06.2014,Newtires
,Falken,"Ziex ZE-914",215,65,16,H,98,,,,0,1025,1025,150,30.06.2014,Newtires
,Firestone,"Firehawk SZ90",195,50,15,,90,,,,0,650,650,75,30.06.2014,Newtires
,Firestone,"Firehawk SZ90",205,55,16,V,91,,,,0,690,690,133,30.06.2014,Newtires
,Firestone,"Firehawk SZ90",225,45,17,W,91,,,,0,950,950,166,30.06.2014,Newtires
,Firestone,"Firehawk TZ300 a",185,60,14,H,82,,,,0,480,480,41,30.06.2014,Newtires
,Firestone,Multihawk,175,70,13,T,82,,,,0,450,450,16,30.06.2014,Newtires
,Firestone,Multihawk,185,60,14,T,82,,,,0,495,495,40,30.06.2014,Newtires
,Firestone,Multihawk,185,65,14,T,86,,,,0,485,485,57,30.06.2014,Newtires
,Firestone,"VanHawk Winter",195,75,16,,107,,,,0,1122,1122,408,30.06.2014,Newtires
,Firestone,"VanHawk Winter",205,65,16,,107,,,,4,1175,1175,414,30.06.2014,Newtires
,Firestone,"VanHawk Winter",205,75,16,,110,,,,4,1080,1080,420,30.06.2014,Newtires
,Firestone,"VanHawk Winter",215,75,16,,113,,,,0,1335,1335,426,30.06.2014,Newtires
,Firestone,"Winterhawk 2 EVO",205,60,16,H,92,,,,0,900,900,381,30.06.2014,Newtires
,Firestone,Winterhawk,205,55,16,T,91,,,,4,800,800,361,30.06.2014,Newtires
,Firestone,Winterhawk,215,65,16,,106,,,,0,1050,1050,423,30.06.2014,Newtires
,Fulda,EcoControl,155,70,13,T,75,,,,0,355,355,7,30.06.2014,Newtires
,Fulda,EcoControl,175,65,14,T,82,,,,0,425,425,31,30.06.2014,Newtires
,Fulda,EcoControl,175,70,13,T,82,,,,0,400,400,9,30.06.2014,Newtires
,Fulda,EcoControl,185,60,14,T,82,,,,0,440,440,44,30.06.2014,Newtires
,Fulda,EcoControl,185,65,14,T,86,,,,0,490,490,58,30.06.2014,Newtires
,Fulda,EcoControl,185,70,14,T,88,,,,0,500,500,66,30.06.2014,Newtires
,Fulda,"Kristall Control HP",205,60,16,H,96,,,,0,825,825,372,30.06.2014,Newtires
,Fulda,"Kristall Montero",195,70,14,T,91,,,,4,725,725,251,30.06.2014,Newtires
